,op1,op2,op3,5-GM Avg Op1,5-GM Avg Op2,5-GM Avg Op3
61,80.64516129032258,70.96774193548387,62.903225806451616,81.00602235429176,69.9833175758561,63.34630484325817
62,79.36507936507937,71.42857142857143,61.904761904761905,80.6721416755835,70.47592841329454,62.96863653455538
63,79.6875,71.875,60.9375,80.33845523490552,70.95262332854877,62.274780602351996
64,80.0,72.3076923076923,61.53846153846154,80.0051219015722,71.41416179008722,61.91580624337763
65,80.3030303030303,72.72727272727273,60.60606060606061,80.00015419168645,71.86125567980407,61.57800197114714
66,80.59701492537313,73.13432835820896,59.70149253731343,79.99052491869655,72.29457296434909,60.93765531731949
67,79.41176470588235,73.52941176470588,58.82352941176471,79.99986198685716,72.71474103157598,60.32140881872006
68,78.26086956521739,73.91304347826086,57.971014492753625,79.71453589990064,73.12234972722815,59.72811171727078
69,78.57142857142857,74.28571428571429,57.14285714285714,79.42882161418635,73.51795412283255,58.8489908381499
70,77.46478873239437,73.23943661971832,57.74647887323944,78.86117330005916,73.62038690132167,58.277074491585665
71,77.77777777777779,72.22222222222221,56.94444444444444,78.29732587054009,73.43796567412431,57.72566487301187
72,78.08219178082192,72.6027397260274,56.16438356164384,78.03141128552801,73.2526312663886,57.1938357029877
73,77.02702702702703,72.97297297297297,56.75675675675676,77.78464277788993,73.06461716533104,56.95098415578832
74,76.0,73.33333333333333,57.333333333333336,77.27035706360422,72.87414097485484,56.98907939388356
75,76.31578947368422,72.36842105263158,57.89473684210527,77.0405572118622,72.6999378614375,57.018730987656724
76,76.62337662337663,72.72727272727273,58.44155844155844,76.80967698098196,72.80094796244761,57.31815378707953
77,75.64102564102564,73.07692307692307,57.692307692307686,76.3214437530227,72.89578463262673,57.623738613212296
78,75.9493670886076,73.41772151898735,58.22784810126582,76.10591176533882,72.98473434182961,57.917956882114105
79,76.25,73.75,57.49999999999999,76.15591176533881,73.06806767516295,57.95129021544744
80,75.30864197530865,72.8395061728395,58.0246913580247,75.9544822656637,73.16228469920453,57.977281118631325
81,75.60975609756098,71.95121951219512,57.3170731707317,75.75175816050057,73.007074056189,57.75238406446598
82,75.90361445783132,72.28915662650603,57.831325301204814,75.8042759238617,72.8495207661056,57.780187586245404
83,75.0,72.61904761904762,58.333333333333336,75.61440250614018,72.68978598611766,57.801284632658906
84,75.29411764705883,72.94117647058823,58.82352941176471,75.42322603555195,72.5280212802353,58.06599051501185
85,75.5813953488372,73.25581395348837,59.30232558139535,75.47777671025767,72.61128283636508,58.321517359685984
86,74.71264367816092,73.5632183908046,58.620689655172406,75.29835422637765,72.93368261208698,58.582240656574115
87,75.0,73.86363636363636,57.95454545454546,75.11763133481138,73.24857855951304,58.60688468724226
